Time,Extension,Load,
14.54,1.74227,6.04968,
14.56,1.74473,5.98545,
14.58,1.74686,5.94637,
14.6,1.749,5.97682,
14.62,1.75147,6.01107,
14.64,1.75419,6.06323,
14.66,1.75688,6.08233,
14.68,1.75937,6.08437,
14.7,1.76153,6.10614,
14.72,1.76346,6.10706,
14.74,1.76553,6.09277,
14.76,1.76796,6.10804,
14.78,1.77066,6.12218,
14.8,1.77342,6.18015,
14.82,1.77594,6.16656,
14.84,1.77813,6.16242,
14.86,1.78033,6.13777,
14.88,1.78283,6.10716,
14.9,1.78552,6.13748,
14.92,1.78812,6.14936,
14.94,1.79051,6.15155,
14.96,1.7926,6.1771,
14.98,1.79453,6.16762,
15,1.79666,6.16336,
15.02,1.79918,6.19226,
15.04,1.80198,6.20376,
15.06,1.80477,6.18402,
15.08,1.80723,6.17583,
15.1,1.80935,6.20225,
15.12,1.81152,6.2277,
15.14,1.81402,6.23599,
15.16,1.81668,6.22219,
15.18,1.81928,6.2162,
15.2,1.8217,6.22144,
15.22,1.82382,6.22883,
15.24,1.82579,6.24036,
15.26,1.82796,6.26434,
15.28,1.8305,6.29693,
15.3,1.83328,6.32281,
15.32,1.83603,6.35666,
15.34,1.83844,6.34982,
15.36,1.84054,6.30776,
15.38,1.84275,6.27374,
15.4,1.84528,6.26387,
15.42,1.84796,6.27422,
15.44,1.85056,6.28042,
15.46,1.85294,6.26417,
15.48,1.85501,6.23846,
15.5,1.85697,6.26143,
15.52,1.85916,6.30232,
15.54,1.86171,6.29591,
15.56,1.86447,6.30411,
15.58,1.86717,6.30441,
15.6,1.86951,6.33508,
15.62,1.8716,6.36182,
15.64,1.87384,6.42538,
15.66,1.87645,6.41879,
15.68,1.87921,6.4064,
15.7,1.88185,6.4224,
15.72,1.88418,6.39575,
15.74,1.88616,6.40209,
15.76,1.88807,6.45273,
15.78,1.89026,6.47776,
15.8,1.89284,6.48241,
15.82,1.89564,6.48881,
15.84,1.89837,6.4741,
15.86,1.90073,6.49257,
15.88,1.90285,6.52934,
15.9,1.90512,6.57371,
15.92,1.9077,6.56883,
15.94,1.91035,6.55709,
15.96,1.9129,6.54283,
15.98,1.91523,6.5503,
16,1.91726,6.58171,
16.02,1.91924,6.59838,
16.04,1.9215,6.61695,
16.06,1.92412,6.60419,
16.08,1.92691,6.59259,
16.1,1.92958,6.57928,
16.12,1.93187,6.59415,
16.14,1.93396,6.6497,
16.16,1.93625,6.6699,
16.18,1.93886,6.6323,
16.2,1.94157,6.61604,
16.22,1.94417,6.62789,
16.24,1.94648,6.62928,
16.26,1.94848,6.62562,
16.28,1.95047,6.64077,
16.3,1.95277,6.6791,
16.32,1.95541,6.71997,
16.34,1.95817,6.71678,
16.36,1.96079,6.71295,
16.38,1.96304,6.68293,
16.4,1.96514,6.67885,
16.42,1.96747,6.69803,
16.44,1.97009,6.7275,
16.46,1.97277,6.73712,
16.48,1.97533,6.72025,
16.5,1.97763,6.69877,
16.52,1.97963,6.71328,
16.54,1.98163,6.75782,
16.56,1.98398,6.77605,
16.58,1.98664,6.75016,
16.6,1.98939,6.7462,
16.62,1.99196,6.78682,
16.64,1.99419,6.83005,
16.66,1.99635,6.86787,
16.68,1.99878,6.88297,
16.7,2.00146,6.86518,
16.72,2.00415,6.831,
16.74,2.00668,6.78709,
16.76,2.00889,6.77024,
16.78,2.01083,6.7666,
16.8,2.01286,6.7908,
16.82,2.01522,6.80946,
16.84,2.01789,6.77588,
16.86,2.02063,6.75275,
16.88,2.02319,6.74441,
16.9,2.02542,6.76111,
16.92,2.02758,6.80007,
16.94,2.02998,6.80979,
16.96,2.0326,6.84686,
16.98,2.03523,6.88722,
17,2.03776,6.87453,
